"Ceremony","Award_Name"
"Valdivia International Film Festival","Special Jury Award"
"Valencia Festival of Mediterranean Cinema","Silver Palm"
"Valencia Festival of Mediterranean Cinema","FIPRESCI Prize"
"Venice Film Festival","Golden Osella"
"Cognac Festival du Film Policier","Grand Prix"
"Cognac Festival du Film Policier","Audience Award"
"Toronto International Film Festival","Metro Media Award"
"Women Film Critics Circle Awards","WFCC Award"
"Young Hollywood Awards","Dream Director Award"
"Adelaide Film Festival","Foxtel Movies International Award"
"AFI Fest","Grand Jury Prize"
"Asia Pacific Screen Awards","UNESCO Award"
"Asia Pacific Screen Awards","Asia Pacific Screen Award"
"Asian Film Critics Association Awards","NETPAC Award"
"Berlin International Film Festival","Blue Angel"
"Berlin International Film Festival","Amnesty International Film Prize"
"Buenos Aires International Festival of Independent Cinema","Best Film"
"Cannes Film Festival","Un Certain Regard - Special Jury Prize"
"Cologne Mediterranean Film Festival","Grand Prize"
"Dubai International Film Festival","Muhr Arab Award"
"FEMF Festival of the European and Mediterrenean Film","No Awards listed. Please create one in the box below."
"Festróia - Tróia International Film Festival","Golden Dolphin"
"German Film Awards","Film Award in Gold"
"Haifa International Film Festival","Golden Anchor Award"
"Marrakech International Film Festival","Golden Star"
"Melbourne International Film Festival","Most Popular Feature Film"
"Minneapolis St. Paul International Film Festival","Audience Choice Award"
"Montpellier Mediterranean Film Festival","Golden Antigone"
"Nederlands Film Festival","Golden Calf"
"Nederlands Film Festival","Dutch Film Critics Award"
"New York Film Festival","Grand Marnier Fellowship Award"
"New Zealand International Film Festival","Audience Award"
"Rotterdam International Film Festival","MovieZone Award"
"Rotterdam International Film Festival","KNF Award"
"Traverse City Film Festival","Founders Prize"
"Tromsø International Film Festival","Norwegian Peace Film Award"
"Costume Designers Guild Awards","Distinguished Director/Producer Award"
"Gijón International Film Festival","Grand Prix Asturias"
"Gijón International Film Festival","Best Screenplay"
"Hollywood Film Awards","Hollywood Movie Award"
"Sundance Film Festival","Special Jury Recognition"
"BAFTA Awards","Carl Foreman Award for the Most Promising Newcomer"
"Austin Film Festival","Audience Award"
"Castellinaria International Festival of Young Cinema","Golden Castle"
"Dinard British Film Festival","Audience Award"
"Ghent International Film Festival","Audience Award"
"Ghent International Film Festival","FIPRESCI Prize - Special Mention"
"Molodist International Film Festival","Best Film Award"
"Motovun Film Festival","Propeller of Motovun"
"Norwegian International Film Festival","Silver Clod"
"Norwegian International Film Festival","Most Enjoyable Film (Theatre Owners)"
"Oulu International Children's Film Festival","Starboy Award"
"Palm Springs International Film Festival","International Filmmaker Award"
"Rome Film Fest","BNL People's Choice Award"
"Sofia International Film Festival","Audience Award 'Silver Sea-Gull'"
"Stockholm Film Festival","Best Directorial Debut"
"Stockholm Film Festival","Audience Award"
"Valladolid International Film Festival","Best New Director"
"Deauville Film Festival","Revelations Prize"
"Tokyo International Film Festival","Best Artistic Contribution Award"
"Woodstock Film Festival","Honorary Maverick Award"
"BAFTA Awards","BAFTA Games Award"
"Academy of Science Fiction, Fantasy & Horror Films, USA","President's Award"
"American Cinematheque Gala Tribute","American Cinematheque Award"
"American Movie Awards","Marquee"
"Atlanta Film Festival","Jury Award"
"Chicago International Film Festival","Lifetime Achievement Award"
"Cinema for Peace Awards","Cinema for Peace Award"
"David di Donatello Awards","Special David"
"Georgia Film Critics Association (GFCA)","GFCA Award"
"Golden Camera, Germany","Golden Camera"
"International Emmy Awards","Founders Award"
"Korean Association of Film Critics Awards","Korean Association of Film Critics Award"
"News & Documentary Emmy Awards","Emmy"
"PGA Awards","PGA Hall of Fame - Motion Pictures"
"PGA Awards","Vision Award"
"Rembrandt Awards","Audience Award"
"Retirement Research Foundation, USA","Wise Owl Award"
"ShoWest Convention, USA","Lifetime Achievement Award"
"Taormina International Film Festival","Best First Film"
"The Kennedy Center Honors","Kennedy Center Honors"
"Tokyo International Film Festival","Akira Kurosawa Award"
"WorldFest Houston","Gold Remi Award"
"Amsterdam Fantastic Film Festival","Career Achievement Award"
"British Animation Awards","BAA"
"International Film Music Critics Award (IFMCA)","IFMCA Award"
"Moscow International Film Festival","Special Prize"
"Order of Arts and Letters, France","Officer of the Order of Arts and Letters"
"Ottawa International Animation Festival","Audience Award"
"Tokyo International Film Festival","Samurai Award"
"Broadcast Film Critics Association Awards","Critics' Choice Louis XIII Genius Award"
"Cinema Eye Honors Awards, US","Heterodox Award"
"Críticos de Cinema Online Portugueses Awards","CCOP"
"Denver International Film Festival","John Cassavetes Award"
"Film Club's The Lost Weekend","Lost Weekend Award"
"Jeonju Film Festival","Daring Digital Award"
"Locarno International Film Festival","Golden Leopard"
"Melbourne International Film Festival","People's Choice Award"
"Nantucket Film Festival","Writer/Director Award"
"Norwegian International Film Festival","Norwegian Film Critics Award"
"Oklahoma Film Critics Circle Awards","OFCC Award"
"Ottawa International Animation Festival","OIAF Award"
"San Francisco International Film Festival","Founder's Directing Award"
"Seattle International Film Festival","Golden Space Needle Award"
"SXSW Film Festival","Louis Black/Lone Star Award"
"SXSW Film Festival","Audience Award"
"SXSW Film Festival","Lone Star States"
"Tribeca Film Festival","Special Mention"
"Venice Film Festival","'CinemAvvenire' Award"
"Venice Film Festival","Laterna Magica Prize - Special Mention"
"AFI Awards, USA","AFI Award"
"African-American Film Critics Association (AAFCA)","AAFCA Award"
"Awards Circuit Community Awards","Davis Award"
"Dallas-Fort Worth Film Critics Association Awards","Russell Smith Award"
"Deauville Film Festival","Jury Special Prize"
"Deauville Film Festival","CinéLive Award"
"Dinard British Film Festival","Silver Hitchcock"
"Irish Film and Television Awards","IFTA Award"
"Irish Film and Television Awards","Audience Award"
"MTV Movie + TV Awards","MTV Movie Award"
"Newport International Film Festival, Rhode Island","Best Director Award"
"Newport International Film Festival, Rhode Island","Jury Award"
"Rotterdam International Film Festival","Tiger Award"
"San Francisco International Film Festival","SKYY Prize"
"Sitges - Catalonian International Film Festival","Prize of the Catalan Screenwriter's Critic and Writer's Association"
"Slamdance Film Festival","Founder's Award"
"Slamdance Film Festival","Black & White Award"
"Slamdance Film Festival","Grand Jury Prize"
"Sundance Film Festival","Waldo Salt Screenwriting Award"
"Visual Effects Society Awards","Visionary Award"
"BAFTA Awards","Michael Balcon Award"
"Academy of Science Fiction, Fantasy & Horror Films, USA","George Pal Memorial Award"
"Accolade Competition","Best of Show"
"Australians in Film Awards","AusFilm International Award"
"Boston Film Festival","Film Excellence Award"
"Cannes Film Festival","Best First Work"
"Palm Springs International Film Festival","Director's Achievement Award"
"Yoga Awards","Special Mention"
"Asia Pacific Screen Awards","FIAPF Award for Outstanding Achievement in Film"
"Asian Film Awards","Asian Film Award"
"Asian Film Awards","Outstanding Contribution to Asian Cinema"
"Beijing Student Film Festival","Jury Award"
"Berlin International Film Festival","Alfred Bauer Award"
"China Film Director's Guild Awards","China Film Directors' Guild Award"
"Florida Film Festival","Audience Award"
"Golden Rooster Awards","Golden Rooster"
"Hawaii International Film Festival","Lifetime Achievement Award"
"Hawaii International Film Festival","Vision in Film Award"
"Hawaii International Film Festival","Excellence in Cinematography Award"
"Hong Kong Film Awards","Hong Kong Film Award"
"Huabiao Film Awards","Huabiao Film Award"
"Hundred Flowers Awards","Hundred Flowers Award"
"Isfahan International Festival of Films for Children & Young Adults","Golden Butterfly"
"Ljubljana International Film Festival","Audience Award"
"Macau International Movie Festival","Golden Lotus Awards"
"Mannheim-Heidelberg International Filmfestival","Master of Cinema"
"National Board of Review, USA","Freedom of Expression Award"
"Palm Springs International Film Festival","Audience Award"
"Shanghai Film Critics Awards","Shanghai Film Critics Award"
"Sundance Film Festival","Audience Award"
"Tokyo International Film Festival","Best Actor Award"
"Udine Far East Film Festival","Audience Award"
"Valladolid International Film Festival","Silver Spike"
"Valladolid International Film Festival","FIPRESCI Prize"
"Venice Film Festival","Laterna Magica Prize"
"Venice Film Festival","Sergio Trasatti Award"
"Venice Film Festival","UNICEF Award"
"Venice Film Festival","OCIC Award - Honorable Mention"
"Venice Film Festival","Elvira Notari Prize"
"Venice Film Festival","FIPRESCI Prize"
"Awards of the Japanese Academy","Award of the Japanese Academy"
"Awards of the Japanese Academy","Lifetime Achievement Award"
"Blue Ribbon Awards","Special Award"
"Cambridge Film Festival","Audience Award"
"Cinekid","Cinekid Film Award"
"Durban International Film Festival","Best Film"
"Fantafestival","Best Short Film"
"Hochi Film Awards","Special Award"
"Mill Valley Film Festival","Audience Award"
"Nikkan Sports Film Awards","Nikkan Sports Film Award"
"San Francisco International Film Festival","Audience Award"
"Sitges - Catalonian International Film Festival","Special Prize of the Jury"
"Sitges - Catalonian International Film Festival","Special Mention"
"Tokyo Anime Award","Animation of the Year"
"Tokyo Anime Award","Best Screenplay/Original Story"
"Tokyo Anime Award","Best Director"
"Tokyo Anime Award","Best Original Story"
"Tokyo Anime Award","Best Screenplay"
"Tokyo Anime Award","Best Character Design"
"Venice Film Festival","Mimmo Rotella Foundation Award"
"Zagreb World Festival of Animated Films","Lifetime Achievement Award"
"Cognac Festival du Film Policier","Critics Award"
"International Documentary Association","IDA Award"
"Santa Fe Film Critics Circle Awards","SFFCC Award"
"Writers Guild of America, USA","Paul Selvin Honorary Award"
"Bavarian Film Awards","Bavarian Film Award"
"Cinequest San Jose Film Festival","Best Feature"
"German Film Critics Association Awards","German Film Critics Award"
"Karlovy Vary International Film Festival","Don Quijote Award - Special Mention"
"Max Ophüls Festival","Max Ophüls Award"
"Miami Film Festival","FIPRESCI Prize"
"Munich Film Festival","Director's Promotional Award"
"Romy Gala, Austria","Romy"
"American Film Institute, USA","Franklin J. Schaffner Award"
"Ariel Awards, Mexico","Golden Ariel"
"Berlin International Film Festival","FIPRESCI Prize - Honorable Mention"
"Cannes Film Festival","Special Mention"
"Cannes Film Festival","International Prize"
"Moscow International Film Festival","Honorary Prize"
"Venice Film Festival","Special Jury Prize"
"Austrian Film Award, AT","Austrian Film Award"
"Fünf Seen Film Festival","Documentary Award"
"Ghent International Film Festival","Best Screenplay"
"Gijón International Film Festival","Special Jury Award"
"IndieLisboa International Independent Film Festival","Audience Award"
"Leipzig DOK Festival","FIPRESCI Prize"
"London Film Festival","Grierson Award"
"Madrid International Documentary Film Festival","Best Feature-Length Documentary"
"Max Ophüls Festival","Prize of the Minister President of the State of Saarland"
"Millennium Docs Against Gravity","Documentary Academy Award"
"Nuremberg Film Festival """"""""Turkey-Germany""""""""","Best Film"
"San Francisco International Film Festival","Golden Spire"
"Vancouver International Film Festival","Best Documentary Feature"
"Viennale","Vienna Film Award"
"Berlin International Film Festival","Bronze Berlin Bear"
"ShoWest Convention, USA","ShoWest Vanguard Award"
"Torino Film Festival","Prize of the City of Torino"
"Angers European First Film Festival","Audience Award"
"Angers European First Film Festival","C.I.C.A.E. Award"
"Boston Independent Film Festival","Audience Award"
"Cinéfest Sudbury","Audience Award"
"Créteil International Women's Film Festival","Audience Award"
"Créteil International Women's Film Festival","Grand Prix"
"Festróia - Tróia International Film Festival","Jury Special Prize"
"Film by the Sea International Film Festival","Audience Award"
"Göteborg Film Festival","Nordic Honorary Dragon Award"
"Göteborg Film Festival","Dragon Award"
"Hamburg Film Festival","Critics Award"
"Les Arcs European Film Festival","Crystal Arrow"
"Montréal World Film Festival","FIPRESCI Prize"
"Montréal World Film Festival","Montréal First Film Prize - Special Mention"
"Munich Film Festival","Bernhard Wicki Film Award"
"Rome Film Fest","Grand Jury Prize"
"Rome Film Fest","Audience Award"
"Rouen Nordic Film Festival","Press Award"
"Rouen Nordic Film Festival","Audience Award"
"Rouen Nordic Film Festival","ACOR Award"
"San Sebastián International Film Festival","SIGNIS Award"
"Seville European Film Festival","Best Director"
"Seville European Film Festival","Best Screenplay"
"Skip City International D-Cinema Festival","Grand Prize"
"Toronto International Film Festival","International Critics' Award (FIPRESCI) - Special Mention"
"Venice Film Festival","Queer Lion"
"Verzaubert - International Gay & Lesbian Film Festival","Rosebud"
